stop_id,stop_name,stop_description,よみがな,eng,esp
,片浜駅,ミューバス片浜駅循環 東回り,かたはまえき,Katahama Eki,
,片浜駅入口,ミューバス片浜駅循環 東回り,かたはまえきいりぐち,Katahama Eki Iriguchi,
,松長,ミューバス片浜駅循環 東回り,,,
,東松長,ミューバス片浜駅循環 東回り,,,
,大諏訪天神前,ミューバス片浜駅循環 東回り,,,
,大諏訪,ミューバス片浜駅循環 東回り,,,
,中坪,ミューバス片浜駅循環 東回り,,,
,中坪北,ミューバス片浜駅循環 東回り,,,
,八反田,ミューバス片浜駅循環 東回り,,,
,北消防署西分署前,ミューバス片浜駅循環 東回り,,,
,沼津市立病院,ミューバス片浜駅循環 東回り,,,
,藤棚,ミューバス片浜駅循環 東回り,,,
,沼津信用金庫愛鷹支店前,ミューバス片浜駅循環 東回り,,,
,西椎路,ミューバス片浜駅循環 東回り,,,
,愛鷹中学校入口,ミューバス片浜駅循環 東回り,,,
,東原,ミューバス片浜駅循環 東回り,,,
,中田通り,ミューバス片浜駅循環 東回り,,,
,あしたか学園入口,ミューバス片浜駅循環 東回り,,,
,東原南,ミューバス片浜駅循環 東回り,,,
,今沢小中学校,ミューバス片浜駅循環 東回り,,,
,関谷レディースクリニック前,ミューバス片浜駅循環 東回り,,,
,ゆうあいクリニック前,ミューバス片浜駅循環 東回り,,,
,北今沢東,ミューバス片浜駅循環 東回り,,,
,北今沢,ミューバス片浜駅循環 東回り,,,
,今沢団地中央公園,ミューバス片浜駅循環 東回り,,,
,今沢団地入口,ミューバス片浜駅循環 東回り,,,
,西今沢,ミューバス片浜駅循環 東回り,,,
,今沢,ミューバス片浜駅循環 東回り,,,
,片浜駅入口,ミューバス片浜駅循環 東回り,かたはまえきいりぐち,Katahama Eki Iriguchi,
,片浜駅,ミューバス片浜駅循環 東回り,かたはまえき,Katahama Eki,
,,,,,
,片浜駅,ミューバス片浜駅循環 西回り,かたはまえき,Katahama Eki,
,片浜駅入口,ミューバス片浜駅循環 西回り,かたはまえきいりぐち,Katahama Eki Iriguchi,
,今沢,ミューバス片浜駅循環 西回り,,,
,西今沢,ミューバス片浜駅循環 西回り,,,
,今沢団地入口,ミューバス片浜駅循環 西回り,,,
,今沢団地中央公園,ミューバス片浜駅循環 西回り,,,
,北今沢,ミューバス片浜駅循環 西回り,,,
,今沢小中学校,ミューバス片浜駅循環 西回り,,,
,東原南,ミューバス片浜駅循環 西回り,,,
,あしたか学園入口,ミューバス片浜駅循環 西回り,,,
,中田通り,ミューバス片浜駅循環 西回り,,,
,東原,ミューバス片浜駅循環 西回り,,,
,北今沢東,ミューバス片浜駅循環 西回り,,,
,ゆうあいクリニック前,ミューバス片浜駅循環 西回り,,,
,関谷レディースクリニック前,ミューバス片浜駅循環 西回り,,,
,愛鷹中学校入口,ミューバス片浜駅循環 西回り,,,
,西椎路,ミューバス片浜駅循環 西回り,,,
,沼津信用金庫愛鷹支店前,ミューバス片浜駅循環 西回り,,,
,藤棚,ミューバス片浜駅循環 西回り,,,
,沼津市立病院,ミューバス片浜駅循環 西回り,,,
,北消防署西分署前,ミューバス片浜駅循環 西回り,,,
,八反田,ミューバス片浜駅循環 西回り,,,
,中坪北,ミューバス片浜駅循環 西回り,,,
,中坪,ミューバス片浜駅循環 西回り,,,
,大諏訪,ミューバス片浜駅循環 西回り,,,
,大諏訪天神前,ミューバス片浜駅循環 西回り,,,
,東松長,ミューバス片浜駅循環 西回り,,,
,松長,ミューバス片浜駅循環 西回り,,,
,片浜駅入口,ミューバス片浜駅循環 西回り,かたはまえきいりぐち,Katahama Eki Iriguchi,
,片浜駅,ミューバス片浜駅循環 西回り,かたはまえき,Katahama Eki,
,,,,,
,原駅,ミューバス原駅循環 東回り,はらえき,Hara Eki,
,原駅入口,ミューバス原駅循環 東回り,はらえきいりぐち,Hara Eki Iriguchi,
,西町,ミューバス原駅循環 東回り,,,
,原警察署前,ミューバス原駅循環 東回り,,,
,白隠前,ミューバス原駅循環 東回り,,,
,東町,ミューバス原駅循環 東回り,,,
,大塚,ミューバス原駅循環 東回り,,,
,大塚新田,ミューバス原駅循環 東回り,,,
,大塚新田公会堂,ミューバス原駅循環 東回り,,,
,大塚公園,ミューバス原駅循環 東回り,,,
,原東小学校前,ミューバス原駅循環 東回り,,,
,沼津特別支援学校,ミューバス原駅循環 東回り,,,
,診療所前,ミューバス原駅循環 東回り,,,
,市営団地入口,ミューバス原駅循環 東回り,,,
,市営原団地,ミューバス原駅循環 東回り,,,
,沼川橋,ミューバス原駅循環 東回り,,,
,西郵便局前,ミューバス原駅循環 東回り,,,
,原団地入口,ミューバス原駅循環 東回り,,,
,三合橋,ミューバス原駅循環 東回り,,,
,八石,ミューバス原駅循環 東回り,,,
,根古屋南,ミューバス原駅循環 東回り,,,
,東根古屋,ミューバス原駅循環 東回り,,,
,根古屋,ミューバス原駅循環 東回り,,,
,井出橋,ミューバス原駅循環 東回り,,,
,東井出,ミューバス原駅循環 東回り,,,
,西井出,ミューバス原駅循環 東回り,,,
,東平沼,ミューバス原駅循環 東回り,,,
,平沼中,ミューバス原駅循環 東回り,,,
,平沼,ミューバス原駅循環 東回り,,,
,吹上,ミューバス原駅循環 東回り,,,
,石川,ミューバス原駅循環 東回り,,,
,東海大入口,ミューバス原駅循環 東回り,,,
,浮島地区センター,ミューバス原駅循環 東回り,,,
,アクアプラザ,ミューバス原駅循環 東回り,,,
,東芝ライテック,ミューバス原駅循環 東回り,,,
,沼津登録事務所前,ミューバス原駅循環 東回り,,,
,カインズ南,ミューバス原駅循環 東回り,,,
,西一本松,ミューバス原駅循環 東回り,,,
,一本松,ミューバス原駅循環 東回り,,,
,東一本松,ミューバス原駅循環 東回り,,,
,原新田,ミューバス原駅循環 東回り,,,
,東原新田,ミューバス原駅循環 東回り,,,
,原中学校入口,ミューバス原駅循環 東回り,,,
,原小学校前,ミューバス原駅循環 東回り,,,
,原駅入口,ミューバス原駅循環 東回り,はらえきいりぐち,Hara Eki Iriguchi,
,原駅,ミューバス原駅循環 東回り,はらえき,Hara Eki,
,,,,,
,原駅,ミューバス原駅循環 西回り,はらえき,Hara Eki,
,原駅入口,ミューバス原駅循環 西回り,はらえきいりぐち,Hara Eki Iriguchi,
,原小学校前,ミューバス原駅循環 西回り,,,
