ミューバス原駅循環 東回り,,,,,,,
バス停名,毎日,毎日,土日祝日  運休,毎日,毎日,毎日,毎日
原駅,8:02,9:25,11:20,13:05,15:30,16:05,18:20
原駅入口,8:03,9:26,11:21,13:06,15:31,16:06,18:21
西町,8:04,9:27,11:22,13:07,15:32,16:07,18:22
原警察署前,8:04,9:27,11:22,13:07,15:32,16:07,18:22
白隠前,8:05,↓,↓,↓,↓,↓,↓
東町,8:06,↓,↓,↓,↓,↓,↓
大塚,8:07,↓,↓,↓,↓,↓,↓
大塚新田,8:08,↓,↓,↓,↓,↓,↓
大塚新田公会堂,8:08,↓,↓,↓,↓,↓,↓
大塚公園,8:09,↓,↓,↓,↓,↓,↓
原東小学校前,8:10,↓,↓,↓,↓,↓,↓
沼津特別支援学校,8:10,↓,↓,↓,↓,↓,↓
診療所前,8:11,↓,↓,↓,↓,↓,↓
市営団地入口,8:11,↓,↓,↓,↓,↓,↓
市営原団地,8:12,↓,↓,↓,↓,↓,↓
沼川橋,↓,9:28,11:23,13:08,15:33,16:08,18:23
西郵便局前,↓,9:29,11:24,13:09,15:34,16:09,18:24
原団地入口,8:13,9:30,11:25,13:10,15:35,16:10,18:25
三合橋,8:13,9:30,11:25,13:10,15:35,16:10,18:25
八石,8:14,9:31,11:26,13:11,15:36,16:11,18:26
根古屋南,8:14,9:31,11:26,13:11,15:36,16:11,18:26
東根古屋,8:15,9:32,11:27,13:12,15:37,16:12,18:27
根古屋,8:16,9:33,11:28,13:13,15:38,16:13,18:28
井出橋,8:17,9:34,11:29,13:14,15:39,16:14,18:29
東井出,8:17,9:34,11:29,13:14,15:39,16:14,18:29
西井出,8:18,9:35,11:30,13:15,15:40,16:15,18:30
東平沼,8:20,9:37,11:32,13:17,15:42,16:17,18:32
平沼中,8:20,9:37,11:32,13:17,15:42,16:17,18:32
平沼,↓,↓,11:33,↓,15:43,↓,18:33
吹上,↓,↓,11:34,↓,15:44,↓,18:34
石川,↓,↓,11:35,↓,15:45,↓,18:35
東海大入口,8:21,9:38,↓,13:18,↓,16:18,↓
浮島地区センター,8:21,9:38,↓,13:18,↓,16:18,↓
アクアプラザ,8:23,9:40,11:38,13:20,15:48,16:20,18:38
東芝ライテック,8:24,↓,11:39,↓,15:49,↓,18:39
沼津登録事務所前,8:25,↓,11:40,↓,15:50,↓,18:40
カインズ南,↓,9:44,↓,13:24,↓,16:24,↓
西一本松,↓,9:46,↓,13:26,↓,16:26,↓
一本松,↓,9:46,↓,13:26,↓,16:26,↓
東一本松,↓,9:47,↓,13:27,↓,16:27,↓
原新田,8:27,9:48,11:42,13:28,15:52,16:28,18:42
東原新田,8:28,9:49,11:43,13:29,15:53,16:29,18:43
原中学校入口,8:29,9:50,11:44,13:30,15:54,16:30,18:44
原小学校前,8:30,9:51,11:45,13:31,15:55,16:31,18:45
原駅入口,8:31,9:52,11:46,13:32,15:56,16:32,18:46
原駅,8:34,9:55,11:49,13:35,15:59,16:35,18:49
