運行日バス停名,土日祝日運休,土日祝日運休,土日祝日運休,毎日,土日祝日運休,土日祝日運休,毎日,毎日,毎日,土日祝日運休,土日祝日運休,毎日,毎日,土日祝日運休,毎日
片浜駅,-,7:30,8:05,8:25,8:40,9:10,9:55,10:35,11:10,13:30,14:35,15:10,15:40,16:30,17:20
片浜駅入口,-,7:30,8:05,8:25,8:40,9:10,9:55,10:35,11:10,13:30,14:35,15:10,15:40,16:30,17:20
松長,-,7:31,8:06,8:26,8:41,9:11,9:56,10:36,11:11,13:31,14:36,15:11,15:41,16:31,17:21
東松長,-,7:32,8:07,8:27,8:42,9:12,9:57,10:37,11:12,13:32,14:37,15:12,15:42,16:32,17:22
大諏訪天神前,-,7:32,8:07,8:27,8:42,9:12,9:57,10:37,11:12,13:32,14:37,15:12,15:42,16:32,17:22
大諏訪,-,7:33,8:08,8:28,8:43,9:13,9:58,10:38,11:13,13:33,14:38,15:13,15:43,16:33,17:23
中坪,-,7:34,8:09,8:29,8:44,9:14,9:59,10:39,11:14,13:34,14:39,15:14,15:44,16:34,17:24
中坪北,-,7:35,8:10,8:30,8:45,9:15,10:00,10:40,11:15,13:35,14:40,15:15,15:45,16:35,17:25
八反田,-,7:36,8:11,8:31,8:46,9:16,10:01,10:41,11:16,13:36,14:41,15:16,15:46,16:36,17:26
北消防署西分署前,-,7:36,8:11,8:31,8:46,9:16,10:01,10:41,11:16,13:36,14:41,15:16,15:46,16:36,17:26
沼津市立病院,7:08,7:38,8:13,8:33,8:48,9:18,10:03,10:43,11:18,13:38,14:43,15:18,15:48,16:38,17:28
藤棚,7:09,7:39,8:14,8:34,8:49,9:19,10:04,10:44,11:19,13:39,14:44,15:19,15:49,16:39,17:29
沼津信用金庫愛鷹支店前,7:10,7:40,8:15,8:35,8:50,9:20,10:05,10:45,11:20,13:40,14:45,15:20,15:50,16:40,17:30
西椎路,7:11,7:41,8:16,8:36,8:51,9:21,10:06,10:46,11:21,13:41,14:46,15:21,15:51,16:41,17:31
愛鷹中学校入口,7:11,7:41,8:16,8:36,8:51,9:21,10:06,10:46,11:21,13:41,14:46,15:21,15:51,16:41,17:31
東原,7:12,7:42,8:17,↓,8:52,↓,10:07,↓,11:22,↓,14:47,15:22,↓,16:42,17:32
中田通り,7:13,7:43,8:18,↓,8:53,↓,10:08,↓,11:23,↓,14:48,15:23,↓,16:43,17:33
あしたか学園入口,7:13,7:43,8:18,↓,8:53,↓,10:08,↓,11:23,↓,14:48,15:23,↓,16:43,17:33
東原南,7:14,7:44,8:19,↓,8:54,↓,10:09,↓,11:24,↓,14:49,15:24,↓,16:44,17:34
今沢小中学校,7:14,7:44,8:19,↓,8:54,↓,10:09,↓,11:24,↓,14:49,15:24,↓,16:44,17:34
関谷レディースクリニック前,↓,↓,↓,8:37,↓,9:22,↓,10:47,↓,13:42,↓,↓,15:52,↓,↓
ゆうあいクリニック前,↓,↓,↓,8:37,↓,9:22,↓,10:47,↓,13:42,↓,↓,15:52,↓,↓
北今沢東,↓,↓,↓,8:38,↓,9:23,↓,10:48,↓,13:43,↓,↓,15:53,↓,↓
北今沢,7:15,7:45,8:20,8:39,8:55,9:24,10:10,10:49,11:25,13:44,14:50,15:25,15:54,16:45,17:35
今沢団地中央公園,7:16,7:46,8:21,8:40,8:56,9:25,10:11,10:50,11:26,13:45,14:51,15:26,15:55,16:46,17:36
今沢団地入口,7:16,7:46,8:21,8:40,8:56,9:25,10:11,10:50,11:26,13:45,14:51,15:26,15:55,16:46,17:36
西今沢,7:18,7:48,8:23,8:42,8:58,9:27,10:13,10:52,11:28,13:47,14:53,15:28,15:57,16:48,17:38
今沢,7:19,7:49,8:24,8:43,8:59,9:28,10:14,10:53,11:29,13:48,14:54,15:29,15:58,16:49,17:39
片浜駅入口,7:20,7:50,8:25,8:44,9:00,9:29,10:15,10:54,11:30,13:49,14:55,15:30,15:59,16:50,17:40
片浜駅,7:22,7:52,8:27,8:46,9:02,9:31,10:17,10:56,11:32,13:51,14:57,15:32,16:01,16:52,17:42
